id,name
A5105141183,Fabián Pedregosa
A5074733625,Gaël Varoquaux
A5018256474,Alexandre Gramfort
A5027430303,Vincent Michel
A5026762833,Bertrand Thirion
A5112700874,Olivier Grisel
A5049123454,Mathieu Blondel
A5088660184,Peter Prettenhofer
A5103273436,Ron J. Weiss
A5087957070,Vincent Dubourg
A5038304150,Jake Vanderplas
A5034029772,Alexandre Passos
A5023051838,David Cournapeau
A5050910015,Matthieu Brucher
A5107933380,Matthieu Perrot
A5007095962,Édouard Duchesnay
A5110271944,J. R. Quinlan
A5107867713,Christopher Bishop
A5011959718,Arthur Asuncion
A5045934263,Ian H. Witten
A5059992863,Eibe Frank
A5065290010,Mark A. Hall
A5108711177,Carl Edward Rasmussen
A5080713659,Christopher K. I. Williams
A5110057218,David E. Goldberg
A5043442839,Catherine Blake
A5103362817,Kevin P. Murphy
A5010384159,Steven L. Salzberg
A5071525910,Alberto M. Segre
A5074537073,Thomas G. Dietterich
A5063975186,Fabrizio Sebastiani
A5109387322,Martı́n Abadi
A5110193634,Paul Barham
A5100665512,Jianmin Chen
A5100715424,Zhifeng Chen
A5068599616,Andy Davis
A5043872671,Jay B. Dean
A5004386681,Matthieu Devin
A5012998255,Sanjay Ghemawat
A5029611587,Geoffrey Irving
A5089543053,Michael Isard
A5000650022,Manjunath Kudlur
A5009510257,Josh Levenberg
A5024140027,Rajat Monga
A5063771762,Sherry Moore
A5067335143,Derek G. Murray
A5028992619,Benoit Steiner
A5016586245,Paul A. Tucker
A5004650249,Vijay Vasudevan
A5014405928,Pete Warden
A5080764662,Martin Wicke
A5104075606,Yuan Yu
A5102988664,Xiaoqiang Zheng
A5051617344,William W. Cohen
A5107835063,Andrew McCallum
A5003010184,Sam T. Roweis
A5052891951,Chris Bishop
A5014687727,Thorsten Joachims
A5027820479,Ashish Agarwal
A5047736127,Eugene Brevdo
A5069624169,Craig Citro
A5066927687,Gregory S. Corrado
A5004271128,Ian Goodfellow
A5064042510,Andrew Harp
A5110220840,Yangqing Jia
A5067370075,Rafał Józefowicz
A5031789995,Łukasz Kaiser
A5045113162,Dan Mané
A5039751155,Chris Olah
A5113452656,Mike Schuster
A5032356827,Jonathon Shlens
A5006446297,Ilya Sutskever
A5080065269,Kunal Talwar
A5013813527,Vincent Vanhoucke
A5059594867,Fernanda Viégas
A5003562101,Oriol Vinyals
A5039276358,Martin Wattenberg
A5049812527,Michael I. Jordan
A5102921433,Tom M. Mitchell
A5042053820,Andrew P. Bradley
A5100715421,Zhifeng Chen
A5005003250,John Langford
A5080591144,Joëlle Pineau
A5112347601,Jasper Snoek
A5019862529,Hugo Larochelle
A5007769527,Ryan P. Adams
A5019206666,Léon Bottou
A5015779172,Claude Sammut
A5058054791,Geoffrey I. Webb
A5071875770,John H. Holland
A5103515726,Arthur L. Samuel
A5076168268,Edward Rosten
A5017469047,Tom Drummond
A5034144249,Xiao Han
A5075846365,Kashif Rasul
A5011375551,Roland Vollgraf
A5056507889,Mark Hall
A5066370772,Sotiris Kotsiantis
A5100636286,Qiang Yang
A5100356161,Yang Liu
A5068882233,Tianjian Chen
A5051874566,Yongxin Tong
A5091515481,Xingjian Shi
A5018500051,Zhourong Chen
A5100663938,Hao Wang
A5073139380,Dit‐Yan Yeung
A5101899480,Wai Kin Wong
A5057734311,Wang‐chun Woo
A5024803432,Avrim Blum
A5081275482,Pat Langley
A5062571011,Radford M. Neal
A5079523895,Jacob Biamonte
A5056277018,Péter Wittek
A5077715469,Nicola Pancotti
A5003208881,Patrick Rebentrost
A5004290683,Nathan Wiebe
A5038060570,Seth Lloyd
A5001344255,PedregosaFabian
A5015155577,VaroquauxGaël
A5082193384,GramfortAlexandre
A5046730698,MichelVincent
A5057304980,ThirionBertrand
A5031085857,GriselOlivier
A5023292999,BlondelMathieu
A5088096317,PrettenhoferPeter
A5083564992,WeissRon
A5056576127,DubourgVincent
A5082383435,VanderplasJake
A5027220078,PassosAlexandre
A5002306909,CournapeauDavid
A5026983194,BrucherMatthieu
A5014917008,PerrotMatthieu
A5034896968,DuchesnayÉdouard
A5055606271,Davis E. King
A5039898629,Christopher J. Merz
A5026141445,Rahul C. Deo
A5078263052,Shai Shalev‐Shwartz
A5112193907,Shai Ben-David
A5018030478,D. E. Goldberg
A5021483518,Bill Fulkerson
A5006171154,D. Michie
A5080673459,D. J. Spiegelhalter
A5111533856,C. C. W. Taylor
