id,name
I4210128565,CEA Paris-Saclay
I2738703131,Commissariat à l'Énergie Atomique et aux Énergies Alternatives
I4210131947,Nuxe (France)
I65837984,Kobe University
I51441396,Bauhaus-Universität Weimar
I4210148186,Google (Canada)
I201448701,University of Washington
I177605424,Amherst College
I24603500,University of Massachusetts Amherst
I4210121859,Enthought (United States)
I103084370,Total (France)
I129604602,University of Sydney
I4210164937,Microsoft Research (United Kingdom)
I4210112925,Max Planck Institute for Biological Cybernetics
I149899117,Max Planck Society
I145311948,Johns Hopkins University
I131249849,Oregon State University
I4210107558,Consorzio Pisa Ricerche
I1291425158,Google (United States)
I74973139,Carnegie Mellon University
I185261750,University of Toronto
I200332995,TU Dortmund University
I95457486,"University of California, Berkeley"
I165143802,University of Queensland
I2801032651,Council of Science Editors
I135117807,Université de Sherbrooke
I136199984,Harvard University
I20089843,Princeton University
I31746571,UNSW Sydney
I17301866,University of Alabama
I27837315,University of Michigan–Ann Arbor
I241749,University of Cambridge
I200769079,Hong Kong University of Science and Technology
I889458895,University of Hong Kong
I82880672,Beihang University
I4210104672,Hong Kong Observatory
I4210143426,Institute for the Study of Learning and Expertise
I4210156906,Daimler (United States)
I125989756,Skolkovo Institute of Science and Technology
I179630473,Institute of Photonic Sciences
I4210120293,Max Planck Institute of Quantum Optics
I63966007,Massachusetts Institute of Technology
I1290206253,Microsoft (United States)
I103922791,QB3
I180670191,"University of California, San Francisco"
I197251160,Hebrew University of Jerusalem
I151746483,University of Waterloo
I98677209,University of Edinburgh
I130828816,University of Leeds
