start_id,end_id,type
W2101234009,A5105141183,WRITTEN_BY
A5105141183,I4210128565,AFFILIATED_WITH
A5105141183,I2738703131,AFFILIATED_WITH
W2101234009,A5074733625,WRITTEN_BY
A5074733625,I2738703131,AFFILIATED_WITH
A5074733625,I4210128565,AFFILIATED_WITH
W2101234009,A5018256474,WRITTEN_BY
A5018256474,I2738703131,AFFILIATED_WITH
A5018256474,I4210128565,AFFILIATED_WITH
W2101234009,A5027430303,WRITTEN_BY
A5027430303,I2738703131,AFFILIATED_WITH
A5027430303,I4210128565,AFFILIATED_WITH
W2101234009,A5026762833,WRITTEN_BY
A5026762833,I2738703131,AFFILIATED_WITH
A5026762833,I4210128565,AFFILIATED_WITH
W2101234009,A5112700874,WRITTEN_BY
A5112700874,I4210131947,AFFILIATED_WITH
W2101234009,A5049123454,WRITTEN_BY
A5049123454,I65837984,AFFILIATED_WITH
W2101234009,A5088660184,WRITTEN_BY
A5088660184,I51441396,AFFILIATED_WITH
W2101234009,A5103273436,WRITTEN_BY
A5103273436,I4210148186,AFFILIATED_WITH
W2101234009,A5087957070,WRITTEN_BY
W2101234009,A5038304150,WRITTEN_BY
A5038304150,I201448701,AFFILIATED_WITH
W2101234009,A5034029772,WRITTEN_BY
A5034029772,I177605424,AFFILIATED_WITH
A5034029772,I24603500,AFFILIATED_WITH
W2101234009,A5023051838,WRITTEN_BY
A5023051838,I4210121859,AFFILIATED_WITH
W2101234009,A5050910015,WRITTEN_BY
A5050910015,I103084370,AFFILIATED_WITH
W2101234009,A5107933380,WRITTEN_BY
W2101234009,A5007095962,WRITTEN_BY
W2101234009,C519991488,RELATED_TO
W2101234009,C56666940,RELATED_TO
W2101234009,C41008148,RELATED_TO
W2101234009,C174183944,RELATED_TO
W2101234009,C154945302,RELATED_TO
W2101234009,C119857082,RELATED_TO
W2101234009,C199360897,RELATED_TO
W2101234009,C2780560020,RELATED_TO
W2101234009,C115903868,RELATED_TO
W2101234009,C111919701,RELATED_TO
W3023540311,C41008148,RELATED_TO
W3023540311,C154945302,RELATED_TO
W3023540311,C119857082,RELATED_TO
W3023540311,C161164918,RELATED_TO
W3023540311,C11413529,RELATED_TO
W3023540311,C8880873,RELATED_TO
W3023540311,C4935549,RELATED_TO
W2125055259,A5110271944,WRITTEN_BY
A5110271944,I129604602,AFFILIATED_WITH
W2125055259,C41008148,RELATED_TO
W2125055259,C112968700,RELATED_TO
W2125055259,C95623464,RELATED_TO
W2125055259,C119857082,RELATED_TO
W2125055259,C154945302,RELATED_TO
W2125055259,C43126263,RELATED_TO
W2125055259,C67953723,RELATED_TO
W2125055259,C2777904410,RELATED_TO
W2125055259,C84525736,RELATED_TO
W2125055259,C198531522,RELATED_TO
W2125055259,C115903868,RELATED_TO
W2125055259,C124101348,RELATED_TO
W2125055259,C199360897,RELATED_TO
W2125055259,C111919701,RELATED_TO
W2125055259,C185592680,RELATED_TO
W2125055259,C43617362,RELATED_TO
W1663973292,A5107867713,WRITTEN_BY
A5107867713,I4210164937,AFFILIATED_WITH
W1663973292,C41008148,RELATED_TO
W1663973292,C57177791,RELATED_TO
W1663973292,C2780428219,RELATED_TO
W1663973292,C2522767166,RELATED_TO
W1663973292,C154945302,RELATED_TO
W1663973292,C127413603,RELATED_TO
W1663973292,C78519656,RELATED_TO
W3120740533,A5011959718,WRITTEN_BY
W3120740533,C41008148,RELATED_TO
W3120740533,C154945302,RELATED_TO
W1570448133,A5045934263,WRITTEN_BY
W1570448133,A5059992863,WRITTEN_BY
W1570448133,A5065290010,WRITTEN_BY
W1570448133,C41008148,RELATED_TO
W1570448133,C119857082,RELATED_TO
W1570448133,C2522767166,RELATED_TO
W1570448133,C124101348,RELATED_TO
W1570448133,C154945302,RELATED_TO
W4211049957,A5108711177,WRITTEN_BY
W4211049957,A5080713659,WRITTEN_BY
W4211049957,C154945302,RELATED_TO
W4211049957,C41008148,RELATED_TO
W4211049957,C119857082,RELATED_TO
W4211049957,C61326573,RELATED_TO
W4211049957,C163716315,RELATED_TO
W4211049957,C185592680,RELATED_TO
W4211049957,C147597530,RELATED_TO
W1639032689,A5110057218,WRITTEN_BY
W1639032689,C75608658,RELATED_TO
W1639032689,C41008148,RELATED_TO
W1639032689,C110332635,RELATED_TO
W1639032689,C8880873,RELATED_TO
W1639032689,C119857082,RELATED_TO
W1639032689,C154945302,RELATED_TO
W1639032689,C161164918,RELATED_TO
W1639032689,C80444323,RELATED_TO
W1639032689,C11413529,RELATED_TO
W1639032689,C199360897,RELATED_TO
W1639032689,C4935549,RELATED_TO
W1746819321,A5108711177,WRITTEN_BY
A5108711177,I4210112925,AFFILIATED_WITH
