id,name
C519991488,Python (programming language)
C56666940,Documentation
C41008148,Computer science
C174183944,MIT License
C154945302,Artificial intelligence
C119857082,Machine learning
C199360897,Programming language
C2780560020,License
C115903868,Software engineering
C111919701,Operating system
C161164918,Quality control and genetic algorithms
C11413529,Algorithm
C8880873,Genetic algorithm
C4935549,Meta-optimization
C112968700,Unix
C95623464,Classifier (UML)
C43126263,Source code
C67953723,Workstation
C2777904410,Software
C84525736,Decision tree
C198531522,Sample (material)
C124101348,Data mining
C185592680,Chemistry
C43617362,Chromatography
C57177791,Imaging science
C2780428219,Cover (algebra)
C2522767166,Data science
C127413603,Engineering
C78519656,Mechanical engineering
C61326573,Gaussian process
C163716315,Gaussian
C147597530,Computational chemistry
C75608658,Pascal (unit)
C110332635,Genetic programming
C80444323,Theoretical computer science
C115903097,Online machine learning
C49937458,Probabilistic logic
C14948415,Relevance vector machine
C12267149,Support vector machine
C122280245,Kernel method
C50644808,Artificial neural network
C121332964,Physics
C62520636,Quantum mechanics
C77088390,Database
C9652623,Field (mathematics)
C152565575,Conditional random field
C173801870,Heuristic
C155846161,Graphical model
C2776135515,Regularization (linguistics)
C33923547,Mathematics
C202444582,Pure mathematics
C153180895,Pattern recognition (psychology)
C75306776,Successor cardinal
C2777855551,Subject (documents)
C183931066,ID3 algorithm
C5481197,Decision tree learning
C10229987,Incremental decision tree
C136764020,World Wide Web
C134306372,Mathematical analysis
C22019652,Overfitting
C45942800,Ensemble learning
C46686674,Boosting (machine learning)
C141404830,AdaBoost
C107673813,Bayesian probability
C94124525,Categorization
C63000827,Software portability
C2986744138,Text categorization
C204321447,Natural language processing
C2778755073,Scale (ratio)
C58640448,Cartography
C205649164,Geography
C2777601897,Presentation (obstetrics)
C161191863,Library science
C509550671,Medical education
C71924100,Medicine
C126838900,Radiology
C105795698,Statistics
C136197465,Variety (cybernetics)
C2780451532,Task (project management)
C120936955,Empirical research
C138885662,Philosophy
C187736073,Management
C111472728,Epistemology
C162324750,Economics
C120314980,Distributed computing
C64543145,Intersection (aeronautics)
C2164484,Core (optical fiber)
C75684735,Big data
C45374587,Computation
C119421448,Lying
C76155785,Telecommunications
C146978453,Aerospace engineering
C58471807,Receiver operating characteristic
C60908668,Perceptron
C78397625,Discriminant
C179717631,Multilayer perceptron
C96324660,Dataflow
C78766204,Multi-core processor
C118524514,Computer architecture
C108583219,Deep learning
C48044578,Scalability
C2776214188,Inference
C176727019,Dataflow architecture
C173608175,Parallel computing
C8642999,Hyperparameter
C192209626,Focus (optics)
C98045186,Process (computing)
C95923904,Marginal likelihood
C2780586882,Simple (philosophy)
C81692654,Kriging
C165216359,Marginal distribution
C126255220,Mathematical optimization
C122123141,Random variable
C120665830,Optics
C2778049539,Bayesian optimization
C2987595161,Optimization algorithm
C206688291,Stochastic gradient descent
C194387892,Stochastic optimization
C153258448,Gradient descent
C177264268,Set (abstract data type)
C2779343474,Context (archaeology)
C77967617,Active learning (machine learning)
C151730666,Paleontology
C86803240,Biology
C148863701,Encyclopedia
C15744967,Psychology
C94915269,Detector
C61265191,Scale-invariant feature transform
C3261483,Frame rate
C39499422,Corner detection
C126042441,Frame (networking)
C2776401178,Feature (linguistics)
C31972630,Computer vision
C68339613,Speedup
C52622490,Feature extraction
C115961682,Image (mathematics)
C41895202,Linguistics
C190502265,MNIST database
C86251818,Benchmarking
C78201319,Grayscale
C169903167,Test set
C162853370,Marketing
C144133560,Business
C148483581,Feature selection
C52001869,Naive Bayes classifier
C158154518,Relevance (law)
C117220453,Correlation
C2524010,Geometry
C17744445,Political science
C199539241,Law
C136389625,Supervised learning
C34872919,One-class classification
C2777212361,Class (philosophy)
C58973888,Semi-supervised learning
C2992525071,Federated learning
C150899416,Transfer of learning
C38652104,Computer security
C2781013037,Nowcasting
C81363708,Convolutional neural network
C107054158,Precipitation
C48103436,State (computer science)
C12713177,Perspective (graphical)
C153294291,Meteorology
C26517878,Key (lock)
C81917197,Selection (genetic algorithm)
C18762648,Work (physics)
C2779094486,Quantum machine learning
C84114770,Quantum
C58053490,Quantum computer
C113775141,Computer engineering
C168065819,Debugging
C73555534,Cluster analysis
C26713055,Implementation
C19527891,Medical physics
C177713679,Intensive care medicine
C50292564,Computational learning theory
C112972136,Stability (learning theory)
C32254414,Algorithmic learning theory
C72134830,Convexity
C106159729,Financial economics
C2982736386,Statistical learning
